date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2025-08-13,85100.0,1.6192833609972834,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-14,85300.0,1.619150164951138,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-15,86900.0,1.6106892226841372,-0.24499999999999997,0.7,0.5,fund_only,uptrend
2025-08-18,89240.0,1.6081564741201313,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-19,87540.0,1.609228698573405,-0.03499999999999999,0.7,0.5,both_opp,uptrend
2025-08-20,80980.0,1.6377596910314254,-0.24499999999999997,0.7,0.5,fund_only,uptrend
2025-08-21,82760.0,1.628939896004767,-0.24499999999999997,0.7,0.5,fund_only,range
2025-08-22,78960.0,1.6546047652164806,-0.35,0.7,0.5,both_same,range
2025-08-25,79380.0,1.646706667789325,-0.7,0.7,1.0,both_same,range
2025-08-26,79020.0,1.6493285907392605,-0.48999999999999994,0.7,1.0,fund_only,range
2025-08-27,78860.0,1.6509649785083564,-0.48999999999999994,0.7,1.0,fund_only,range
2025-08-28,78140.0,1.6583509846511124,-0.48999999999999994,0.7,1.0,fund_only,uptrend
2025-08-29,77180.0,1.668334198154822,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-01,75560.0,1.685493095362587,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-02,72620.0,1.7303383918095998,-0.7,0.7,1.0,both_same,range
2025-09-03,71880.0,1.7403986106716147,-0.6,1.0,1.0,ham_only,range
2025-09-04,73420.0,1.7372658931724059,0.0,1.0,1.0,flat,range
2025-09-05,74260.0,1.7372658931724059,0.0,1.0,1.0,flat,range
2025-09-08,74800.0,1.7247745630539595,-0.7,1.0,1.0,fund_only,range
2025-09-09,72900.0,1.745155403183557,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-10,70720.0,1.780586917491597,-0.7,1.0,1.0,fund_only,downtrend
2025-09-11,71000.0,1.7756520329352006,-0.7,1.0,1.0,fund_only,downtrend
2025-09-12,71160.0,1.772851004376204,-0.7,1.0,1.0,fund_only,downtrend
2025-09-15,72680.0,1.746342945513693,-0.7,1.0,1.0,fund_only,downtrend
2025-09-16,73180.0,1.737933203756266,-0.7,1.0,1.0,fund_only,downtrend
2025-09-17,73640.0,1.7302861076697735,-0.7,1.0,1.0,fund_only,range
2025-09-18,72880.0,1.7427862734666275,-0.7,1.0,1.0,fund_only,range
2025-09-19,73960.0,1.7247079745816005,-0.7,1.0,1.0,fund_only,range
2025-09-22,73420.0,1.729791740224384,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-23,73660.0,1.724743853580621,-0.7,1.0,1.0,fund_only,range
2025-09-24,72880.0,1.7326064517684847,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-25,74040.0,1.7122108970963512,-0.7,1.0,1.0,fund_only,range
2025-09-26,72880.0,1.7242767298107262,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-29,73920.0,1.7122200418097444,-0.48999999999999994,0.7,1.0,fund_only,range
2025-09-30,72800.0,1.7249319784837862,-0.48999999999999994,0.7,1.0,fund_only,range
2025-10-09,73340.0,1.718662514177374,-0.48999999999999994,0.7,1.0,fund_only,range
2025-10-10,72740.0,1.7255521621071277,-0.48999999999999994,0.7,1.0,fund_only,range
2025-10-13,72280.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-14,72680.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-15,72940.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-16,75080.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-17,75780.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-20,75940.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-21,75980.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-22,77120.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-23,79940.0,1.7230156004288302,0.0,0.7,1.0,flat,range
2025-10-24,79520.0,1.7230156004288302,0.0,1.0,1.0,flat,range
2025-10-27,81900.0,1.7508556496797025,0.6,1.0,1.0,ham_only,range
2025-10-28,81640.0,1.7475206865374555,0.6,1.0,1.0,ham_only,range
2025-10-29,82900.0,1.7443751493016881,0.0,1.0,1.0,flat,uptrend
2025-10-30,83400.0,1.7443751493016881,0.0,1.0,1.0,flat,uptrend
2025-10-31,80780.0,1.7741148631780561,-0.6,1.0,1.0,ham_only,range
2025-11-03,82280.0,1.7543487901790433,-0.6,1.0,1.0,ham_only,uptrend
2025-11-04,78560.0,1.8315602646238527,-1.0,1.0,1.0,ham_only,range
2025-11-05,79140.0,1.818038052894196,-1.0,1.0,1.0,ham_only,range
2025-11-06,80500.0,1.8125839387355134,0.0,1.0,1.0,flat,range
2025-11-07,82300.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-10,87240.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-11,86540.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-12,86580.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-13,87840.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-14,87360.0,1.8125839387355134,0.0,1.0,1.0,flat,uptrend
2025-11-17,95200.0,1.9698139762930067,1.0,1.0,1.0,ham_only,uptrend
2025-11-18,93520.0,1.9350525531819536,1.0,1.0,1.0,ham_only,uptrend
2025-11-19,99300.0,2.0546484017426003,1.0,1.0,1.0,ham_only,uptrend
2025-11-20,98980.0,2.048027178292876,1.0,1.0,1.0,ham_only,uptrend
2025-11-21,91020.0,2.041883096757997,0.0,1.0,0.5,flat,uptrend
2025-11-24,90480.0,2.041883096757997,0.0,1.0,0.5,flat,range
2025-11-25,95400.0,2.073354635512193,0.3,1.0,0.5,ham_only,uptrend
2025-11-26,96340.0,2.0794834196549017,0.3,1.0,0.5,ham_only,uptrend
2025-11-27,95820.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-11-28,96420.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-01,96940.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-02,96560.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-03,93660.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-04,93700.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-05,92160.0,2.0776118845772125,0.0,1.0,0.5,flat,range
2025-12-08,94840.0,2.0776118845772125,0.0,1.0,0.5,flat,range
2025-12-09,92800.0,2.0776118845772125,0.0,1.0,0.5,flat,range
2025-12-10,95980.0,2.0776118845772125,0.0,1.0,0.5,flat,range
2025-12-11,98880.0,2.0776118845772125,0.0,1.0,0.5,flat,uptrend
2025-12-12,97720.0,2.0776118845772125,0.0,1.0,0.5,flat,range
2025-12-15,101060.0,2.0776118845772125,0.0,1.0,1.0,flat,range
2025-12-16,100600.0,2.0776118845772125,0.0,1.0,1.0,flat,range
2025-12-17,108620.0,2.237009737932519,1.0,1.0,1.0,ham_only,range
2025-12-18,106160.0,2.186346471910479,1.0,1.0,1.0,ham_only,range
2025-12-19,111400.0,2.1797874324947477,0.0,1.0,1.0,flat,uptrend
2025-12-22,114380.0,2.1797874324947477,0.0,1.0,1.0,flat,uptrend
2025-12-23,120360.0,2.2442418296974003,0.6,1.0,1.0,ham_only,uptrend
2025-12-24,124720.0,2.2930199671723788,0.6,1.0,1.0,ham_only,uptrend
2025-12-25,123520.0,2.279782520280428,0.6,1.0,1.0,ham_only,uptrend
2025-12-26,130520.0,2.3573010321422947,0.6,1.0,1.0,ham_only,uptrend
2025-12-29,118820.0,2.2917859075601377,0.3,1.0,0.5,ham_only,uptrend
2025-12-30,121580.0,2.2897233002433337,0.0,1.0,0.5,flat,uptrend
2025-12-31,121580.0,2.2897233002433337,0.0,1.0,0.5,flat,uptrend
2026-01-05,129980.0,2.3653875626446874,0.5,1.0,0.5,ham_only,uptrend
2026-01-06,137940.0,2.437815955469167,0.5,1.0,0.5,ham_only,uptrend
2026-01-07,142300.0,2.476343132378858,0.5,1.0,0.5,ham_only,uptrend
2026-01-08,145000.0,2.499836197935509,0.5,1.0,0.5,ham_only,uptrend
2026-01-09,143420.0,2.496086443638606,0.0,1.0,0.5,flat,uptrend
2026-01-12,156060.0,2.6023358038894497,0.5,1.0,0.5,ham_only,uptrend
2026-01-13,166980.0,2.6933825390505186,0.5,1.0,0.5,ham_only,uptrend
2026-01-14,161940.0,2.6527350124101585,0.5,1.0,0.5,ham_only,uptrend
2026-01-15,163220.0,2.6487559098915434,0.0,1.0,0.5,flat,uptrend
