date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2024-03-12,119850.000000,-0.008761,-0.040050,-0.040884,1.000000,1725.000000,-1.000000,-7900.000000,-7.181818,110000.000000,369891.000000,229075.000000,0.074406,0.123769,0.193131,-0.096900,0.320400,-1.781100,0.354200,,0.043000,-0.232100,,
2024-03-13,118800.000000,-0.056397,-0.015993,-0.013468,1.000000,-525.000000,-1.000000,-9150.000000,-8.243243,111000.000000,341890.000000,226877.000000,0.042105,0.100000,0.222851,-0.096900,0.320400,-1.781100,0.385500,,0.016500,-0.231100,,
2024-03-14,112100.000000,0.026316,0.025424,0.046833,1.000000,-3350.000000,-1.000000,-6800.000000,-6.057906,112250.000000,433149.000000,210848.000000,-0.007965,-0.059564,0.147977,-0.241700,0.320400,-1.717100,0.428900,,0.146600,-0.212600,,
2024-03-15,115050.000000,0.016080,0.018688,-0.006084,1.000000,1475.000000,-1.000000,-1700.000000,-1.514477,112250.000000,322636.000000,206667.000000,0.014998,-0.036835,0.194704,-0.241700,0.320400,-1.717100,0.425000,,0.326700,-0.177300,,
2024-03-18,116900.000000,-0.016681,0.003849,-0.081266,1.000000,925.000000,-1.000000,-5700.000000,-5.064416,112550.000000,333726.000000,205503.000000,0.004296,-0.005952,0.233773,-0.241700,0.320400,-1.717100,0.417900,,0.332100,-0.177700,,
2024-03-19,114950.000000,0.019574,-0.005220,-0.056981,1.000000,-975.000000,-1.000000,-4850.000000,-4.309196,112550.000000,258624.000000,202175.000000,-0.040884,0.030480,0.238685,-0.241700,0.320400,-1.717100,0.523100,,0.339800,-0.155100,,
2024-03-20,117200.000000,0.001280,-0.083618,-0.075085,1.000000,1125.000000,-1.000000,-2900.000000,-2.576633,112550.000000,250314.000000,204597.000000,-0.013468,0.028070,0.209494,-0.241700,0.320400,-1.717100,0.518900,,0.459600,-0.132000,,
2024-03-21,117350.000000,-0.025565,-0.076268,-0.075415,1.000000,75.000000,-1.000000,-4750.000000,-4.220347,112550.000000,223038.000000,208023.000000,0.046833,0.038496,0.201741,-0.533000,0.320400,-1.199200,0.516400,,0.412400,-0.096600,,
2024-03-22,114350.000000,-0.060778,-0.052033,-0.063839,1.000000,-1500.000000,-1.000000,-1900.000000,-1.688139,112550.000000,243895.000000,200633.000000,-0.006084,0.008822,0.123281,-0.533000,0.320400,-1.199200,0.503300,,0.457600,-0.090200,,
2024-03-25,107400.000000,0.009311,0.010242,0.048417,1.000000,-3475.000000,-1.000000,-850.000000,-0.755892,112450.000000,323927.000000,206188.000000,-0.081266,-0.077320,0.049853,-0.533000,0.320400,-1.199200,0.487400,,0.467900,-0.091300,,
